crew_id,name,born_year,death_year,profession,known_for
nm0621210,S.D. Narang,1918,1986,director|producer|actor,tt0247296|tt0247291|tt0246923|tt0247680
nm0621255,R.K. Narayan,1906,2001,writer,tt0059246|tt0120886|tt0244911|tt3424588
nm0624248,Neeraj,1925,2018,music_department|soundtrack|actor,tt0066241|tt0147973|tt0232288|tt0338013
nm0645350,S.K. Ojha,1921,1980,director|writer|producer,tt0176272|tt0177482|tt0133014|tt0248218
nm0654891,Adinarayana Rao P.,1915,1990,composer|producer|writer,tt0207000|tt0261034|tt0257209|tt0213450
nm0655802,P. Padmarajan,1945,1991,writer|director|art_director,tt0249188|tt0248673|tt0249069|tt0248934
nm0665982,Ganesh Patro,1945,2015,writer|script_department|soundtrack,tt7860344|tt8676838|tt0255425|tt0155124
nm0694884,Prabhakar Reddy,1935,1997,actor|writer|producer,tt0265799|tt0263778|tt0262542|tt10580094
nm0694959,Pradeep,1915,1998,music_department|soundtrack|writer,tt0389485|tt0157385|tt0157900|tt1727797
nm0695162,J. Om Prakash,1927,2019,director|producer|miscellaneous,tt0778604|tt0247915|tt0130731|tt0178204
nm0695170,Om Prakash,1919,1998,actor|director|producer,tt0084385|tt0176075|tt0057332|tt0214653
nm0695264,L.V. Prasad,1908,1994,director|producer|actor,tt0148353|tt0050956|tt0255267|tt0246462
nm0695581,Kolli Pratyagatma,1925,2001,director|writer|producer,tt0213973|tt0213515|tt0214037|tt0213475
nm0695609,Ruth Prawer Jhabvala,1927,2013,writer|soundtrack,tt0091867|tt0084058|tt0104454|tt0107943
nm0695919,Munshi Premchand,1880,1936,writer,tt0156780|tt0076696|tt0274825|tt0060444
nm0706478,Samudrala Raghavacharya,1902,1968,writer|music_department|director,tt0259392|tt0257260|tt0256631|tt0256647
nm0706480,Vedantam Raghavaiah,1919,1971,director|miscellaneous|actor,tt0257203|tt0257209|tt0395928|tt0256719
nm0707303,Rajababu,1937,1983,actor|writer,tt0260224|tt0262913|tt0262444|tt0067607
nm0707310,Gautam Rajadhyaksha,1950,2011,camera_department|writer|miscellaneous,tt0172170|tt0248126|tt0133024|tt0172684
nm0707410,Shaktipada Rajguru,1922,2014,writer,tt0080376|tt0054073|tt0268117|tt0215520
nm0707705,O.P. Ralhan,1928,1999,actor|writer|director,tt0139525|tt0065064|tt0076515|tt0215859
nm0708913,Shyam Ramsay,1952,2019,director|editor|writer,tt0259877|tt3592020|tt0260494|tt0260098
nm0710043,Bharat Rangachary,1953,1995,director|assistant_director|miscellaneous,tt0390667|tt0117878|tt0135666|tt0290331
nm0711754,Kantilal Rathod,1925,1988,director|writer|producer,tt0266885|tt0266832|tt0266681|tt0267135
nm0712540,Harnam Singh Rawail,1921,2004,director|writer|producer,tt0266757|tt0139607|tt0266765|tt0266712
nm0713592,Rahi Masoom Reza,1927,1992,writer|music_department|miscellaneous,tt0102258|tt0073569|tt0151466|tt0090138
nm0713593,S. Ali Raza,1922,2007,writer,tt0148706|tt0358063|tt0044318|tt0067668
nm0714762,Kadiri Venkata Reddy,1912,1972,director|writer|producer,tt0265799|tt0266962|tt0249795|tt0043908
nm0740274,Pamela Rooks,1958,2010,director|writer|producer,tt0170704|tt0373779|tt0104884
nm0746950,Bimal Roy,1909,1966,director|cinematographer|producer,tt0053319|tt0045693|tt0050665|tt0056850
nm0747606,Nikolai Rozhkov,1906,1998,writer,tt0049828|tt0039833|tt4601014|tt0170416
nm0752922,Eldar Ryazanov,1927,2015,director|writer|actor,tt0076727|tt0084873|tt0102516|tt0240033
nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
nm0755997,Ramanand Sagar,1917,2005,producer|writer|director,tt0268416|tt0058921|tt0147811|tt0268216
nm0756379,Balraj Sahni,1913,1973,actor|writer|director,tt0055039|tt0043307|tt0234827|tt0233326
nm0756393,Kishore Sahu,1915,1980,actor|director|writer,tt0049412|tt0053767|tt0268349|tt0140370
nm0756488,Ramesh Saigal,1918,1980,director|writer|producer,tt0048537|tt0268533|tt0065903|tt0055444
nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
nm0764314,P.L. Santoshi,1916,1978,director|writer|music_department,tt0053637|tt0268937|tt0269438|tt0134850
nm0765167,Zia Sarhadi,1914,1997,director|writer|music_department,tt0273407|tt0231156|tt0132166|tt0385852
nm0781830,Mohan Segal,1921,2005,director|producer|actor,tt0341563|tt0049549|tt0359544|tt2113694
nm0784016,Mala Sen,1947,2011,writer,tt0109206
nm0784019,Mrinal Sen,1923,2018,director|writer|producer,tt0085785|tt0064086|tt0071317|tt0070498
nm0787429,Chandulal Shah,1898,1975,director|writer|producer,tt0046155|tt0139003|tt0259557|tt0272845
nm0787452,Krishna Shah,1938,2013,writer|director|producer,tt0078241|tt0214591|tt0296274|tt0088706
nm0787453,Kundan Shah,1947,2017,director|writer|producer,tt0085743|tt0110222|tt0328998|tt0249588
nm0787589,Shailendra,1923,1966,music_department|soundtrack|actor,tt0052411|tt1454468|tt1431045|tt0052560
nm0788158,K. Shankar,1926,2006,editor|director|writer,tt0314557|tt0316521|tt0317056|tt1435454
nm0788391,Shantaram Rajaram Vankudre,1901,1990,director|producer|actor,tt0331417|tt0145856|tt0036343|tt0050322
nm0788710,Dewan Sharar,1899,1969,writer|actor,tt0158843|tt0036343|tt0145856|tt2153494
nm0788880,Kidar Nath Sharma,1910,1999,director|writer|actor,tt0039654|tt0042233|tt0141441|tt0374154
nm0792281,Sherif,1940,2015,writer,tt0266501|tt0332040|tt0282845|tt0269384
